Cards,2Win,3Win,4Win,6Win,2Bucket,3Bucket,4Bucket,6Bucket
2/2 u,0.4939,0.314,0.2251,0.15869999999999998,6,4,5,0
3/2 s,0.3309,0.2561,0.1952,0.1402,2,0,0,7
3/2 u,0.2924,0.2161,0.1539,0.0998,2,0,6,3
3/3 u,0.5284,0.3433,0.2456,0.16690000000000002,4,8,5,0
4/2 s,0.3392,0.2649,0.2032,0.1468,2,6,0,7
4/2 u,0.3012,0.2256,0.16260000000000002,0.1067,2,0,6,3
4/3 s,0.35729999999999995,0.2828,0.21899999999999997,0.159,9,6,0,0
4/3 u,0.3207,0.2449,0.1796,0.1199,2,0,6,3
4/4 u,0.5626,0.3742,0.2688,0.1776,1,1,3,6
5/2 s,0.3493,0.273,0.2103,0.1519,9,6,0,7
5/2 u,0.3119,0.2343,0.17010000000000006,0.1123,2,0,6,3
5/3 s,0.3676,0.2918,0.2272,0.1659,9,6,5,0
5/3 u,0.33159999999999995,0.2546,0.1886,0.12710000000000002,2,0,6,3
5/4 s,0.3853,0.3098,0.2433,0.1782,5,4,5,6
5/4 u,0.3507,0.2737,0.2058,0.1405,9,6,0,7
5/5 u,0.5964,0.40700000000000003,0.2947,0.1905,1,7,8,6
6/2 s,0.34840000000000004,0.2665,0.2028,0.1437,9,6,0,7
6/2 u,0.3108,0.2269,0.162,0.1032,2,0,6,3
6/3 s,0.3669,0.28550000000000003,0.22,0.1577,9,6,0,0
6/3 u,0.3307,0.2474,0.1806,0.1182,2,0,6,3
6/4 s,0.3848,0.3042,0.2374,0.17170000000000002,5,4,5,0
6/4 u,0.35,0.2676,0.1993,0.1334,9,6,0,7
6/5 s,0.4035,0.3221,0.2536,0.1845,5,4,3,6
6/5 u,0.3701,0.287,0.2167,0.1471,9,6,0,7
6/6 u,0.627,0.4377,0.3206,0.2059,7,3,1,4
7/2 s,0.3544,0.2644,0.1997,0.13970000000000002,9,6,0,7
7/2 u,0.3171,0.2244,0.1583,0.0987,2,0,6,3
7/3 s,0.373,0.28300000000000003,0.2164,0.1525,9,6,0,7
7/3 u,0.3372,0.2447,0.17620000000000002,0.1124,2,0,6,3
7/4 s,0.3911,0.30210000000000004,0.2339,0.1666,5,4,5,0
7/4 u,0.3566,0.2651,0.1951,0.1278,9,6,0,3
7/5 s,0.4098,0.321,0.2513,0.18100000000000002,5,4,5,6
7/5 u,0.3767,0.2854,0.214,0.1434,9,6,0,7
7/6 s,0.4283,0.3385,0.2674,0.1931,0,8,3,6
7/6 u,0.3965,0.3041,0.2312,0.1562,5,4,5,0
7/7 u,0.6573,0.4702,0.349,0.2235,7,3,9,5
8/2 s,0.3768,0.2773,0.2094,0.1458,9,6,0,7
8/2 u,0.34090000000000004,0.2379,0.16829999999999998,0.1045,2,0,6,3
8/3 s,0.3828,0.2828,0.2141,0.1494,9,6,0,7
8/3 u,0.3475,0.244,0.1736,0.1086,9,0,6,3
8/4 s,0.401,0.3016,0.2313,0.1625,5,4,5,0
8/4 u,0.3671,0.2642,0.192,0.1229,9,6,0,3
8/5 s,0.4199,0.3206,0.2489,0.1773,5,4,5,6
8/5 u,0.3874,0.2847,0.2111,0.1387,5,6,0,7
8/6 s,0.4382,0.33880000000000005,0.2662,0.1911,0,8,3,6
8/6 u,0.407,0.3043,0.2296,0.1535,5,4,5,7
8/7 s,0.4568,0.3565,0.2828,0.2039,0,8,8,4
8/7 u,0.4269,0.3233,0.2477,0.16760000000000005,0,4,5,0
8/8 u,0.6872,0.5046,0.3808,0.2451,7,5,4,5
9/2 s,0.3997,0.2898,0.2189,0.1522,5,6,0,7
9/2 u,0.3652,0.251,0.1778,0.1108,9,0,6,3
9/3 s,0.4081,0.2978,0.2255,0.1567,5,4,5,0
9/3 u,0.3743,0.2597,0.1851,0.1158,9,6,6,3
9/4 s,0.4141,0.3035,0.2305,0.1605,5,4,5,0
9/4 u,0.3809,0.2659,0.1907,0.1201,9,6,0,3
9/5 s,0.4331,0.3224,0.2477,0.1741,0,4,5,0
9/5 u,0.4014,0.2863,0.2093,0.1348,5,6,0,7
9/6 s,0.4515,0.3408,0.2652,0.1882,0,8,3,6
9/6 u,0.421,0.3061,0.2282,0.15,5,4,5,7
9/7 s,0.4699,0.35950000000000004,0.2831,0.203,6,1,8,4
9/7 u,0.4407,0.326,0.2476,0.1661,0,4,5,0
9/8 s,0.4886,0.3774,0.3006,0.2172,6,1,8,4
9/8 u,0.4607,0.3455,0.2666,0.1814,0,8,3,6
9/9 u,0.7167,0.5408,0.4162,0.2711,3,5,4,1
A/2 s,0.5550999999999999,0.4086,0.3144,0.2239,1,7,1,5
A/2 u,0.5295000000000001,0.3747,0.2756,0.1815,4,1,3,6
A/3 s,0.5634,0.418,0.3231,0.2305,1,7,1,5
A/3 u,0.5386,0.385,0.2849,0.1887,4,1,8,6
A/4 s,0.5714,0.4270000000000001,0.3309,0.2363,1,7,1,5
A/4 u,0.5473,0.3945,0.2936,0.1951,4,7,8,6
A/5 s,0.5806,0.4359,0.3389,0.2419,1,3,9,5
A/5 u,0.5574,0.4046,0.3025,0.2015,1,7,8,4
A/6 s,0.5818,0.4319,0.3332,0.235,1,3,1,5
A/6 u,0.5587,0.4004,0.2966,0.1943,1,7,8,6
A/7 s,0.5939,0.4432,0.3435,0.2427,1,3,9,5
A/7 u,0.5717,0.4125,0.308,0.2025,1,7,1,4
A/8 s,0.6051,0.4531,0.3532,0.2498,1,3,9,5
A/8 u,0.5837,0.4231,0.3183,0.2107,1,7,1,4
A/9 s,0.6151,0.4616,0.3618,0.2575,7,3,9,1
A/9 u,0.5945,0.4325,0.3279,0.2193,1,3,1,4
A/A u,0.8493,0.7378,0.6418,0.4951,8,2,2,9
A/J s,0.644,0.4949,0.3985,0.2928,7,5,4,8
A/J u,0.6254,0.4684,0.3675,0.2579,7,3,9,1
A/K s,0.6622,0.5177,0.4252,0.3215,7,5,4,8
A/K u,0.6446999999999999,0.4928,0.3966,0.2896,7,5,4,8
A/Q s,0.6531,0.5056,0.4107,0.3056,7,5,4,8
A/Q u,0.6351,0.4801,0.3811,0.2721,7,5,4,1
A/T s,0.6349,0.485,0.3875,0.2827,7,5,4,1
A/T u,0.6157,0.4579,0.35590000000000005,0.2466,7,3,9,5
J/2 s,0.452,0.3233,0.2441,0.1711,0,4,5,0
J/2 u,0.4205,0.2856,0.2035,0.1292,5,6,0,3
J/3 s,0.4604,0.33140000000000003,0.2509,0.1757,0,8,5,6
J/3 u,0.4297,0.2944,0.2111,0.1342,0,6,0,7
J/4 s,0.4687,0.3395,0.2579,0.1803,6,8,3,6
J/4 u,0.4387,0.3035,0.2189,0.1396,0,4,0,7
J/5 s,0.4782,0.3479,0.2652,0.1856,6,8,3,6
J/5 u,0.449,0.3126,0.2267,0.14529999999999998,0,4,5,7
J/6 s,0.4857,0.3533,0.2702,0.1892,6,8,3,6
J/6 u,0.4571,0.3185,0.2322,0.1494,0,4,5,7
J/7 s,0.5045000000000001,0.3721,0.2881,0.2038,6,1,8,4
J/7 u,0.4773,0.3386,0.2518,0.16510000000000002,6,8,5,0
J/8 s,0.5231,0.3914,0.30760000000000004,0.2201,4,1,1,4
J/8 u,0.4971,0.3594,0.2726,0.1831,6,1,3,6
J/9 s,0.5411,0.4111,0.32799999999999996,0.2382,4,7,1,5
J/9 u,0.5164,0.3805,0.29460000000000003,0.2028,4,1,8,4
J/J u,0.7715000000000001,0.6157,0.4963,0.3405,3,9,7,8
J/T s,0.5615,0.4344,0.35340000000000005,0.2633,1,3,9,1
J/T u,0.5383,0.4058,0.3224,0.2303,4,7,1,5
K/2 s,0.5124,0.3691,0.2805,0.19760000000000005,4,1,8,4
K/2 u,0.4842,0.33340000000000003,0.2405,0.1549,6,8,5,0
K/3 s,0.5207,0.3778,0.2877,0.2025,4,1,8,4
K/3 u,0.4933,0.3426,0.2484,0.1603,6,8,5,0
K/4 s,0.5289,0.3863,0.2949,0.2075,4,1,8,4
K/4 u,0.5023,0.3519,0.2565,0.1659,6,8,3,0
K/5 s,0.5383,0.3951,0.30260000000000004,0.2129,4,7,8,4
K/5 u,0.5125,0.3615,0.2647,0.1718,4,1,3,0
K/6 s,0.5479999999999999,0.4029,0.3096,0.2175,4,7,1,4
K/6 u,0.523,0.37,0.2725,0.1772,4,1,3,6
K/7 s,0.5585,0.4119,0.3177,0.2237,1,7,1,5
K/7 u,0.5342,0.3796,0.2814,0.1838,4,1,8,6
K/8 s,0.5679,0.4191,0.3251,0.2297,1,7,1,5
K/8 u,0.5443,0.3875,0.2893,0.1904,4,1,8,6
K/9 s,0.5864,0.4388,0.3453,0.2473,1,3,9,5
K/9 u,0.5640999999999999,0.4088000000000001,0.31120000000000003,0.2098,1,7,1,4
K/J s,0.6148,0.4722,0.3818,0.2828,7,3,4,1
K/J u,0.5943999999999999,0.4446,0.3508,0.2488,1,3,9,5
K/K u,0.8212,0.6920999999999999,0.5859000000000001,0.4332,8,2,2,2
K/Q s,0.6241,0.4828,0.3941,0.2955,7,5,4,8
K/Q u,0.6043,0.4561,0.3642,0.26280000000000003,1,3,9,1
K/T s,0.6059,0.4624,0.3712,0.2732,1,3,9,1
K/T u,0.5849,0.4342,0.3393,0.23800000000000002,1,3,9,5
Q/2 s,0.481,0.344,0.2601,0.1825,6,8,3,6
Q/2 u,0.4511,0.3072,0.2199,0.14,0,4,0,7
Q/3 s,0.4894,0.3522,0.2673,0.1869,6,8,3,6
Q/3 u,0.4602000000000001,0.3163,0.2275,0.1452,0,4,5,7
Q/4 s,0.4976,0.3608,0.2743,0.1922,6,1,3,6
Q/4 u,0.4692,0.3255,0.2354,0.1508,6,4,5,7
Q/5 s,0.5071,0.3693,0.2817,0.1972,6,1,8,4
Q/5 u,0.4796,0.3348,0.2435,0.1566,6,8,5,0
Q/6 s,0.5168,0.377,0.2887,0.2019,4,1,8,4
Q/6 u,0.49,0.3433,0.2511,0.1617,6,8,5,0
Q/7 s,0.5252,0.3833,0.2947,0.2065,4,1,8,4
Q/7 u,0.499,0.3501,0.2576,0.16699999999999998,6,8,3,0
Q/8 s,0.5442,0.4028,0.3138,0.2224,4,7,1,5
Q/8 u,0.5193,0.3709,0.2783,0.1843,4,1,3,6
Q/9 s,0.5622,0.4225,0.33409999999999995,0.2407,1,7,1,5
Q/9 u,0.5386,0.392,0.3004,0.2041,4,1,8,4
Q/J s,0.5907,0.4555,0.3702,0.2757,1,3,9,1
Q/J u,0.5690999999999999,0.4276,0.3396,0.2426,1,7,9,5
Q/Q u,0.7963,0.6529,0.5390999999999999,0.38299999999999995,3,9,7,2
Q/T s,0.5817,0.4459,0.3599,0.2664,1,3,9,1
Q/T u,0.5595,0.4173,0.3283,0.23199999999999998,1,7,1,5
T/2 s,0.4254,0.306,0.2315,0.16269999999999998,0,4,5,0
T/2 u,0.3924,0.2679,0.1909,0.1212,5,6,0,3
T/3 s,0.4338,0.31420000000000003,0.2382,0.1672,0,4,5,0
T/3 u,0.4016,0.2768,0.1984,0.12619999999999998,5,6,0,3
T/4 s,0.442,0.3222,0.2454,0.17190000000000005,0,4,5,0
T/4 u,0.4106,0.28550000000000003,0.2061,0.1316,5,6,0,7
T/5 s,0.4494,0.3281,0.2507,0.17620000000000002,0,8,5,6
T/5 u,0.4186,0.2921,0.2119,0.1363,5,6,0,7
T/6 s,0.468,0.3464,0.2676,0.1895,6,8,3,6
T/6 u,0.4385,0.3116,0.2303,0.1506,0,4,5,7
T/7 s,0.4865,0.3651,0.2859,0.2046,6,1,8,4
T/7 u,0.4583,0.3319,0.2503,0.1671,0,8,5,0
T/8 s,0.5051,0.3846,0.3053,0.2212,6,1,8,4
T/8 u,0.4782,0.3526,0.271,0.185,6,8,3,6
T/9 s,0.5238,0.4038000000000001,0.3255,0.239,4,7,1,5
T/9 u,0.4982,0.3736,0.2928,0.20440000000000005,6,1,8,4
T/T u,0.7465999999999999,0.5802,0.4569,0.3044,3,9,7,8
